zip,income,pop,unemp_pct,bb_pct,agency_cnt,agency_density,affluence
76049,103239,30911,0.067,0.791,10.0,0.324,92.3
76050,92949,7178,0.031,0.432,0.0,0.0,84.7
76051,111193,50514,0.042,0.856,43.0,0.851,94.8
76052,144812,31569,0.038,0.885,0.0,0.0,92.4
76053,62402,31377,0.032,0.76,3.0,0.096,92.3
76054,108907,11840,0.025,0.895,0.0,0.0,87.3
76055,77627,3719,0.014,0.307,0.0,0.0,81.3
76058,66719,21531,0.046,0.474,0.0,0.0,90.4
76059,50000,5333,0.057,0.447,0.0,0.0,83.1
76060,117993,8808,0.021,0.817,9.0,1.022,85.7
76061,-666666666,0,-6666666.66,,0.0,0.0,0.0
76063,113177,81758,0.036,0.828,17.0,0.208,97.3
76064,70326,2803,0.055,0.496,0.0,0.0,79.8
76065,123664,44614,0.033,0.753,3.0,0.067,94.2
76066,102931,5615,0.082,0.718,0.0,0.0,83.4
76067,59670,20906,0.089,0.658,0.0,0.0,90.2
76070,135092,956,0.0,0.214,0.0,0.0,74.2
76071,102654,4723,0.121,0.582,0.0,0.0,82.5
76073,110224,7267,0.03,0.432,0.0,0.0,84.7
76077,199500,809,0.0,0.745,0.0,0.0,73.3
76078,94379,10200,0.032,0.576,0.0,0.0,86.5
76082,93553,24338,0.045,0.468,0.0,0.0,91.0
76084,100174,13645,0.023,0.546,0.0,0.0,88.0
76085,102014,11083,0.042,0.534,0.0,0.0,86.9
76086,61415,22900,0.041,0.678,0.0,0.0,90.7
76087,108499,33353,0.041,0.725,0.0,0.0,92.7
76088,107431,15748,0.054,0.52,0.0,0.0,88.8
76092,250001,31344,0.03,0.923,23.0,0.734,92.3
76093,56313,4193,0.134,0.438,0.0,0.0,81.9
76102,74293,11783,0.049,0.851,41.0,3.48,87.2
76103,55183,16769,0.08,0.594,0.0,0.0,89.1
76104,56848,20694,0.05,0.595,18.0,0.87,90.2
76105,46482,22550,0.083,0.552,0.0,0.0,90.6
76106,53486,36374,0.05,0.651,0.0,0.0,93.1
76107,79473,31112,0.027,0.807,29.0,0.932,92.3
76108,78471,44762,0.039,0.746,0.0,0.0,94.2
76109,104301,26000,0.039,0.845,12.0,0.462,91.4
76110,68435,32089,0.028,0.699,10.0,0.312,92.4
76111,56944,20823,0.043,0.656,4.0,0.192,90.2
76112,56179,44379,0.082,0.733,3.0,0.068,94.1
76114,61055,26665,0.045,0.674,0.0,0.0,91.5
76115,51823,21044,0.054,0.61,0.0,0.0,90.3
76116,54738,49685,0.053,0.673,5.0,0.101,94.7
76117,49041,32086,0.042,0.617,3.0,0.093,92.4
76118,90453,17486,0.03,0.842,19.0,1.087,89.3
76119,46537,53062,0.087,0.586,0.0,0.0,95.1
76120,74321,20031,0.043,0.819,0.0,0.0,90.0
76123,98618,42777,0.075,0.823,0.0,0.0,93.9
76126,107668,25920,0.033,0.861,15.0,0.579,91.3
76127,-666666666,1839,0.0,1.0,0.0,0.0,39.1
76129,-666666666,1722,0.203,,0.0,0.0,38.7
76131,104301,53194,0.034,0.858,0.0,0.0,95.1
76132,67017,26432,0.031,0.77,0.0,0.0,91.4
76133,71722,53825,0.049,0.747,0.0,0.0,95.1
76134,67970,29207,0.092,0.745,0.0,0.0,92.0
76135,70590,18903,0.069,0.74,0.0,0.0,89.7
76137,86886,59384,0.027,0.862,0.0,0.0,95.6
76140,73215,31693,0.058,0.728,0.0,0.0,92.4
76148,90614,23608,0.046,0.807,0.0,0.0,90.9
76155,66004,6301,0.011,0.886,0.0,0.0,84.0
76164,51618,13134,0.043,0.554,0.0,0.0,87.8
76177,103990,24141,0.061,0.85,3.0,0.124,91.0
76179,108428,76468,0.037,0.887,3.0,0.039,97.0
76180,78688,37900,0.035,0.836,3.0,0.079,93.3
76182,119722,30771,0.02,0.885,0.0,0.0,92.2
76201,37863,29832,0.076,0.675,13.0,0.436,92.1
76203,-666666666,1060,0.081,,0.0,0.0,36.2
76205,65322,19651,0.048,0.776,0.0,0.0,89.9
76207,91026,18252,0.04,0.832,0.0,0.0,89.5
76208,90833,27186,0.04,0.84,11.0,0.405,91.6
76209,66883,27859,0.052,0.786,0.0,0.0,91.7
76210,108438,46790,0.031,0.877,0.0,0.0,94.4
76225,71625,3311,0.059,0.44,0.0,0.0,80.6
76226,170530,40516,0.023,0.884,10.0,0.247,93.7
76227,107065,55437,0.043,0.893,11.0,0.198,95.3
76228,71250,1320,0.017,0.366,0.0,0.0,75.9
76230,64467,9885,0.019,0.409,0.0,0.0,86.3
76233,65701,3604,0.017,0.515,0.0,0.0,81.1
76234,88083,20912,0.042,0.467,0.0,0.0,90.2
76238,112000,504,0.0,0.636,0.0,0.0,70.9
76239,65000,1201,0.02,0.548,0.0,0.0,75.4
76240,67056,29271,0.053,0.568,0.0,0.0,92.0
76241,-666666666,0,-6666666.66,,0.0,0.0,0.0
76244,119542,75149,0.038,0.86,3.0,0.04,96.9
76245,75391,1778,0.061,0.618,0.0,0.0,77.4
76247,123173,18360,0.045,0.828,0.0,0.0,89.5
76248,169391,40389,0.028,0.91,13.0,0.322,93.6
76249,111263,10069,0.025,0.668,0.0,0.0,86.4
76250,101250,973,0.007,0.686,0.0,0.0,74.3
76251,59423,704,0.04,0.287,0.0,0.0,72.6
76252,95063,2836,0.042,0.681,0.0,0.0,79.8
76253,70000,236,0.0,0.547,0.0,0.0,66.9
76255,55052,5725,0.11,0.451,0.0,0.0,83.5
76258,93661,8042,0.04,0.601,0.0,0.0,85.3
76259,94433,5628,0.009,0.512,0.0,0.0,83.4
76261,39375,203,0.029,0.494,0.0,0.0,66.2
76262,143093,43589,0.04,0.876,10.0,0.229,94.0
76263,-666666666,30,0.0,0.786,0.0,0.0,17.8
76264,81576,1020,0.041,0.246,0.0,0.0,74.5
76265,77902,1634,0.033,0.526,0.0,0.0,77.0
76266,95603,18246,0.029,0.597,0.0,0.0,89.5
76267,-666666666,76,0.0,0.565,0.0,0.0,22.6
76268,74013,248,0.064,0.747,0.0,0.0,67.2
